trial,map_type,mode,completed,unresponded,active_remaining,total_emergencies,avg_response_time,total_distance,utilization
0,static,baseline,6,109,40,155,9.666666666666666,88,1.0
0,static,ga,8,92,43,143,9.942899070668577,144,1.0
0,static,ga_fuzzy,8,92,43,143,9.942899070668577,144,1.0
0,dynamic,baseline,1,107,45,153,0.0,16,1.0
0,dynamic,ga,13,97,45,155,13.112658265739277,257,0.0
0,dynamic,ga_fuzzy,14,108,41,163,12.561689129731755,281,1.0
1,static,baseline,8,107,36,151,13.125,118,1.0
1,static,ga,8,85,44,137,7.995361253039841,136,1.0
1,static,ga_fuzzy,16,88,36,140,8.759202742925225,280,0.0
1,dynamic,baseline,2,109,34,145,3.5,32,1.0
1,dynamic,ga,4,122,36,162,11.766453157588025,76,1.0
1,dynamic,ga_fuzzy,6,111,30,147,10.50349191209588,108,1.0
2,static,baseline,6,109,48,163,6.166666666666667,82,1.0
2,static,ga,18,100,44,162,8.420598865079263,287,0.0
2,static,ga_fuzzy,17,99,38,154,8.592021941345791,287,1.0
2,dynamic,baseline,18,74,35,127,9.833333333333334,280,0.0
2,dynamic,ga,14,82,40,136,11.778889704842012,267,0.0
2,dynamic,ga_fuzzy,13,80,44,137,10.780823380237697,259,1.0
3,static,baseline,8,126,43,177,11.25,114,1.0
3,static,ga,8,113,43,164,9.097735206171748,152,1.0
3,static,ga_fuzzy,4,115,31,150,11.034550380705333,80,1.0
3,dynamic,baseline,20,86,32,138,17.8,305,1.0
3,dynamic,ga,8,107,36,151,10.200281158557479,138,1.0
3,dynamic,ga_fuzzy,15,95,42,152,13.461006976856078,275,0.0
4,static,baseline,2,133,32,167,2.0,26,1.0
4,static,ga,15,83,42,140,9.215004163365908,299,1.0
4,static,ga_fuzzy,15,83,42,140,9.215004163365908,299,1.0
4,dynamic,baseline,3,92,43,138,5.666666666666667,42,1.0
4,dynamic,ga,3,117,30,150,8.41125472012773,46,1.0
4,dynamic,ga_fuzzy,17,93,39,149,8.845105903130998,288,0.0
5,static,baseline,4,110,30,144,3.75,60,1.0
5,static,ga,17,109,36,162,9.123117007801191,304,0.0
